No,ref_path,opt input T_init,opt output T_out,opt output cmp_spd,opt output pmp_spd,model sim T_init,model sim T_out,control T_init,control T_out,,
0,35,28,28.6539,0,0,28,28.5959,28,28.5959,,
30,35,30,30.6502,0,0,30,30.6519,29.0959,29.7,,
60,35,31,31.6483,0,0,31,31.65,30.2,30.8225,,
90,35,32,32.5503,0,0,32,32.552,31.3225,31.8522,,
120,35,33,33.5318,0,0,33,33.5335,32.3522,32.8689,,
150,35,34,34.5254,0,0,34,34.5271,33.3689,33.8803,,
180,35,35,35.0525,2760,100,35,35.0879,34.3803,34.4614,,
210,35,35,35.0619,3043.52,100,35,34.9893,34.9614,34.9473,,
240,35,36,35.0399,6000,100,36,34.6996,35.4473,34.1367,,
270,35,35,35.0555,2489.92,99.92,35,35.0022,34.6367,34.6292,,
300,35,36,34.881,5824,99.232,36,34.6975,35.1292,33.8146,,
330,35,35,34.9304,2408,70,35,35.0153,34.3146,34.3218,,
360,35,35,34.9614,2000,95.44,35,35.0121,34.8218,34.8331,,
390,35,36,34.8062,5840,95.44,36,34.6504,35.3331,33.9759,,
420,35,35,35.0118,1749.12,97.3293,35,35.0067,34.4759,34.4754,,
450,35,35,34.9826,1872,87.664,35,34.9704,34.9754,34.9492,,
480,35,36,34.7398,5840,95.44,36,34.5497,35.4492,33.9897,,
510,35,35,35.1306,1360,77.2,35,34.9987,34.4897,34.4798,,
540,35,35,35.1224,1152,100,35,35.0228,34.9798,34.999,,
570,35,36,35.1557,5480,90.912,36,34.6196,35.499,34.1242,,
600,35,35,35.0934,1127.68,98.528,35,35.0044,34.6242,34.6232,,
630,35,36,35.1538,5480,73.672,36,34.7241,35.1232,33.856,,
660,35,35,35.0803,1000,98,35,35.0244,34.356,34.3751,,
690,35,35,35.0833,1000,100,35,35.0249,34.8751,34.8975,,
720,35,36,35.1529,5480,73.672,36,34.7233,35.3975,34.1317,,
750,35,35,35.0854,1000,98,35,35.0275,34.6317,34.6558,,
780,35,36,35.1545,5480,73.672,36,34.725,35.1558,33.8913,,
810,35,35,35.0874,1000,98,35,35.0295,34.3913,34.4169,,
840,35,35,35.0884,1000,100,35,35.03,34.9169,34.9447,,
870,35,36,35.1518,5480,73.672,36,34.7233,35.4447,34.1801,,
900,35,35,35.0111,1000,91,35,35.0111,34.6801,34.6888,,
930,35,36,35.1343,5480,73.672,36,34.7053,35.1888,33.9065,,
960,35,35,35.0123,1000,91,35,35.0123,34.4065,34.4162,,
990,35,35,35.0129,1000,91,35,35.0129,34.9162,34.9271,,
1020,35,36,35.1356,5480,73.672,36,34.7067,35.4271,34.147,,
1050,35,35,35.0139,1000,91,35,35.0139,34.647,34.6588,,
1080,35,36,35.1363,5480,73.672,36,34.7075,35.1588,33.8797,,
1110,35,35,35.0687,1000,98,35,35.0128,34.3797,34.3906,,
1140,35,35,35.0691,1000,100,35,35.0127,34.8906,34.9014,,
1170,35,36,35.1373,5480,73.672,36,34.7086,35.4014,34.1238,,
1200,35,35,35.0694,1000,98,35,35.0136,34.6238,34.6357,,
1230,35,36,35.1285,5480,73.672,36,34.6998,35.1357,33.8495,,
1260,35,35,35.0071,1000,91,35,35.0071,34.3495,34.3555,,
1290,35,35,35.0074,1000,91,35,35.0074,34.8555,34.8612,,
1320,35,36,35.1286,5480,73.672,36,34.7,35.3612,34.0756,,
1350,35,35,35.0078,1000,91,35,35.0077,34.5756,34.5822,,
1380,35,36,35.1287,5480,73.672,36,34.7002,35.0822,33.7975,,
1410,35,35,35.008,1000,91,35,35.008,34.2975,34.305,,
1440,35,35,35.0081,1000,91,35,35.0081,34.805,34.8116,,
